gene,log2FoldChange
ENSMUSG00000035557,21.8667395354993
ENSMUSG00000035831,8.35143352469336
ENSMUSG00000045545,8.29804319622026
ENSMUSG00000051879,7.87251128561093
ENSMUSG00000048013,7.64634947869777
ENSMUSG00000061527,7.45176062377895
ENSMUSG00000059898,6.1941207662617
ENSMUSG00000026413,6.01309122780017
ENSMUSG00000024503,5.65260495904863
ENSMUSG00000100807,5.38733847212436
