gene,log2FoldChange
ENSMUSG00000116378,-6.46037114447528
ENSMUSG00000089739,-5.84327497814902
ENSMUSG00000064405,-5.09692852869487
ENSMUSG00000034683,-3.88522886331059
ENSMUSG00000109341,-3.8443006474561
ENSMUSG00000021799,-3.7666180913473
ENSMUSG00000027068,-3.73869982283213
ENSMUSG00000043857,-3.73026617094389
ENSMUSG00000057948,-3.72036327750645
ENSMUSG00000112071,-3.63439038169905
