gene,log2FoldChange
ENSMUSG00000030653,-23.2794221357061
ENSMUSG00000030209,-2.39866504965385
ENSMUSG00000027513,-2.19597440224262
ENSMUSG00000079620,-2.11740870489297
ENSMUSG00000067786,-2.08525696737868
ENSMUSG00000059201,-1.86143807714689
ENSMUSG00000059824,-1.79026624022225
ENSMUSG00000044021,-1.6639537970073
ENSMUSG00000053963,-1.63421629171076
ENSMUSG00000074071,-1.61985324857608
