timestamp,seasonal
2016-04-08 01:37:00+00:00,-2.013776640935935e-07
2016-04-08 01:38:00+00:00,-2.2003485011271595e-07
2016-04-08 01:39:00+00:00,-2.3870600740320316e-07
2016-04-08 01:40:00+00:00,-2.573910390080346e-07
2016-04-08 01:41:00+00:00,-2.7608985114295155e-07
2016-04-08 01:42:00+00:00,-2.9480234096321425e-07
2016-04-08 01:43:00+00:00,-3.1352841047683464e-07
2016-04-08 01:44:00+00:00,-3.322679553064566e-07
2016-04-08 01:45:00+00:00,-3.510208774143388e-07
2016-04-08 01:46:00+00:00,-3.697870661767653e-07
2016-04-08 01:47:00+00:00,-3.8856642301451543e-07
2016-04-08 01:48:00+00:00,-4.0735883339304083e-07
2016-04-08 01:49:00+00:00,-4.261641935764672e-07
2016-04-08 01:50:00+00:00,-4.449823928976411e-07
2016-04-08 01:51:00+00:00,-4.6381331826109615e-07
2016-04-08 01:52:00+00:00,-4.826568602900963e-07
2016-04-08 01:53:00+00:00,-5.015129011818235e-07
2016-04-08 01:54:00+00:00,-5.203813267883932e-07
2016-04-08 01:55:00+00:00,-5.392620191484108e-07
2016-04-08 01:56:00+00:00,-5.581548606709231e-07
2016-04-08 01:57:00+00:00,-5.77059736413195e-07
2016-04-08 01:58:00+00:00,-5.959765164078919e-07
2016-04-08 01:59:00+00:00,-6.149050827598303e-07
2016-04-08 02:00:00+00:00,-6.338453131650775e-07
2016-04-08 02:01:00+00:00,-6.527970772006937e-07
2016-04-08 02:02:00+00:00,-6.717602513719618e-07
2016-04-08 02:03:00+00:00,-6.907347075044621e-07
2016-04-08 02:04:00+00:00,-7.097203144055458e-07
2016-04-08 02:05:00+00:00,-7.287169435402212e-07
2016-04-08 02:06:00+00:00,-7.47724459173654e-07
2016-04-08 02:07:00+00:00,-7.667427283862493e-07
2016-04-08 02:08:00+00:00,-7.857716162805091e-07
2016-04-08 02:09:00+00:00,-8.048109855068423e-07
2016-04-08 02:10:00+00:00,-8.238606987353824e-07
2016-04-08 02:11:00+00:00,-8.429206146249753e-07
2016-04-08 02:12:00+00:00,-8.619905930990991e-07
2016-04-08 02:13:00+00:00,-8.810704917993896e-07
2016-04-08 02:14:00+00:00,-9.001601657109653e-07
2016-04-08 02:15:00+00:00,-9.192594709946466e-07
2016-04-08 02:16:00+00:00,-9.383682601614079e-07
2016-04-08 02:17:00+00:00,-9.574863828592062e-07
2016-04-08 02:18:00+00:00,-9.76613694177804e-07
2016-04-08 02:19:00+00:00,-9.957500377714723e-07
2016-04-08 02:20:00+00:00,-1.0148952661523217e-06
2016-04-08 02:21:00+00:00,-1.0340492217312752e-06
2016-04-08 02:22:00+00:00,-1.0532117505757647e-06
2016-04-08 02:23:00+00:00,-1.0723826956317363e-06
2016-04-08 02:24:00+00:00,-1.0915618994642205e-06
2016-04-08 02:25:00+00:00,-1.1107492013384916e-06
2016-04-08 02:26:00+00:00,-1.1299444437109515e-06
2016-04-08 02:27:00+00:00,-1.1491474582243101e-06
