RR,Type,Variable,Model,RMSE,MAE,AE_Threshold,AE_MeanMSE,AE_Time_s,SeqLen,Resample,Conformal_q_inv
RR-1,telemetry,Temp_degC_ISS,LSTM,0.0739850833137869,0.0577134750783443,8.490407963108734e-05,2.0466655769268986e-05,10355.082372188568,45,1min,0.0936783593130878
RR-1,radiation,SAA_Dose_mGy_d,LSTM,0.0012813427629208,0.0009799977997317,0.0090782616753131,0.003981661517173,9458.126925230026,45,1min,0.0012376267893544
RR-1,radiation,Total_Dose_mGy_d,LSTM,0.0013618361548791,0.0013183611445128,0.0222893343307077,0.0046819867566227,9370.0287668705,45,1min,0.0014707379831257
RR-1,telemetry,Temp_degC_ISS,LSTM,0.07398508331378696,0.057713475078344345,8.490407963108734e-05,2.0466655769268982e-05,10355.082372188568,45,1min,0.0936783593130878
RR-1,telemetry,RH_percent_ISS,LSTM,1.0251361640179937,0.8436205983161926,0.0030642433557659366,0.00161456607747823,10346.441201925278,45,1min,1.5584747194947162
RR-1,telemetry,CO2_ppm_ISS,LSTM,57.47062131605265,45.48680877685547,0.003686043608468021,0.001428821706213057,10332.88838481903,45,1min,110.45647475293347
RR-1,radiation,GCR_Dose_mGy_d,LSTM,5.909600078034664e-05,5.85083726036828e-05,0.024435820057988167,0.02429460734128952,9351.40314412117,45,1min,6.908438042247675e-05
RR-1,radiation,SAA_Dose_mGy_d,LSTM,0.00128134276292089,0.000979997799731791,0.009078261675313115,0.003981661517173052,9458.126925230026,45,1min,0.0012376267893544105
RR-1,radiation,Total_Dose_mGy_d,LSTM,0.0013618361548791377,0.0013183611445128918,0.02228933433070779,0.004681986756622791,9370.028766870499,45,1min,0.0014707379831257327
RR-1,radiation,Accumulated_Dose_mGy_d,LSTM,0.6421283898912937,0.5375373959541321,1.2866414487361908,0.31678780913352966,9375.284691810608,45,1min,0.32916104515388306
